Movies,IMDB Rating,Genre,Runtime (in min),Year of Release,Gross Income (in $)
1.The Godfather,9.2,"Crime, Drama",175,1972,"$482,349,6"
2.The Dark Knight,9,"Action, Crime, Drama",152,2008,"$357,277,4"
3.Schindler's List,9,"Biography, Drama, History",195,1993,"$230,099,0"
4.The Lord of the Rings: The Return of the King,9,"Action, Adventure, Drama",201,2003,"$503,162,3"
5.Pulp Fiction,8.9,"Crime, Drama",154,1994,"$291,480,4"
6.Inception,8.8,"Action, Adventure, Sci-Fi",148,2010,"$262,681,2"
7.The Lord of the Rings: The Fellowship of the Ring,8.8,"Action, Adventure, Drama",178,2001,"$426,074,3"
8.Forrest Gump,8.8,"Drama, Romance",142,1994,"$383,336,7"
9.The Lord of the Rings: The Two Towers,8.8,"Action, Adventure, Drama",179,2002,"$968,511,8"
10.Spider-Man: Across the Spider-Verse,8.7,"Animation, Action, Adventure",140,2023,"$426,588,5"
11.Interstellar,8.7,"Adventure, Drama, Sci-Fi",169,2014,"$389,925,9"
12.The Matrix,8.7,"Action, Sci-Fi",136,1999,"$384,256,9"
13.Star Wars: Episode V - The Empire Strikes Back,8.7,"Action, Adventure, Fantasy",124,1980,"$1,074,458,2"
14.Se7en,8.6,"Crime, Drama, Mystery",127,1995,"$1,081,169,8"
15.The Silence of the Lambs,8.6,"Crime, Drama, Thriller",118,1991,"$2,799,439,1"
16.Star Wars,8.6,"Action, Adventure, Fantasy",121,1977,"$2,052,415,0"
17.The Green Mile,8.6,"Crime, Drama, Fantasy",189,1999,"$814,337,0"
18.Terminator 2: Judgment Day,8.6,"Action, Sci-Fi",137,1991,"$382,238,1"
19.Saving Private Ryan,8.6,"Drama, War",169,1998,"$521,311,8"
20.Sen to Chihiro no kamikakushi,8.6,"Animation, Adventure, Family",125,2001,"$187,436,8"
21.La vita è bella,8.6,"Comedy, Drama, Romance",116,1997,"$1,495,696,2"
22.Gladiator,8.5,"Action, Adventure, Drama",155,2000,"$321,457,7"
23.The Departed,8.5,"Crime, Drama, Thriller",151,2006,"$225,933,4"
24.Gisaengchung,8.5,"Drama, Thriller",132,2019,"$356,296,6"
25.Django Unchained,8.5,"Drama, Western",165,2012,"$213,216,2"
26.Back to the Future,8.5,"Adventure, Comedy, Sci-Fi",116,1985,"$394,436,5"
27.The Lion King,8.5,"Animation, Adventure, Drama",88,1994,"$475,106,1"
28.The Intouchables,8.5,"Biography, Comedy, Drama",112,2011,"$735,099,1"
29.Raiders of the Lost Ark,8.4,"Action, Adventure",115,1981,"$1,067,316,1"
30.Spider-Man: Into the Spider-Verse,8.4,"Animation, Action, Adventure",117,2018,"$303,723,6"
31.Joker(I) ,8.4,"Crime, Drama, Thriller",122,2019,"$1,109,802,3"
32.The Dark Knight Rises,8.4,"Action, Drama, Thriller",164,2012,"$406,878,2"
33.Avengers: Endgame,8.4,"Action, Adventure, Drama",181,2019,"$1,921,847,1"
34.Avengers: Infinity War,8.4,"Action, Adventure, Sci-Fi",149,2018,"$294,805,6"
35.Coco(I) ,8.4,"Animation, Adventure, Drama",105,2017,"$373,672,9"
36.Kimi no na wa.,8.4,"Animation, Drama, Fantasy",106,2016,"$321,752,6"
37.WALL·E,8.4,"Animation, Adventure, Family",98,2008,"$474,171,8"
38.Heat,8.3,"Action, Crime, Drama",170,1995,"$264,118,7"
39.Top Gun: Maverick,8.3,"Action, Drama",130,2022,"$180,906,0"
40.Inglourious Basterds,8.3,"Adventure, Drama, War",153,2009,"$384,577,4"
41.Good Will Hunting,8.3,"Drama, Romance",126,1997,"$237,536,1"
42.American Beauty,8.3,Drama,122,1999,"$672,806,4"
43.Braveheart,8.3,"Biography, Drama, History",178,1995,"$316,791,2"
44.Toy Story,8.3,"Animation, Adventure, Comedy",81,1995,"$941,637,9"
45.Star Wars: Episode VI - Return of the Jedi,8.3,"Action, Adventure, Fantasy",131,1983,"$402,382,1"
46.Up,8.3,"Animation, Adventure, Comedy",96,2009,"$453,210,9"
47.Toy Story 3,8.3,"Animation, Adventure, Comedy",103,2010,"$254,158,3"
48.Dangal,8.3,"Action, Biography, Drama",161,2016,"$476,512,0"
49.Jurassic Park,8.2,"Action, Adventure, Sci-Fi",127,1993,"$369,330,3"
50.The Wolf of Wall Street,8.2,"Biography, Comedy, Crime",180,2013,"$180,563,6"
51.Spider-Man: No Way Home,8.2,"Action, Adventure, Fantasy",148,2021,"$441,306,1"
52.Shutter Island,8.2,"Mystery, Thriller",138,2010,"$654,264,0"
53.Batman Begins,8.2,"Action, Crime, Drama",140,2005,"$380,080,2"
54.Green Book,8.2,"Biography, Comedy, Drama",130,2018,"$225,508,2"
55.Indiana Jones and the Last Crusade,8.2,"Action, Adventure",127,1989,"$1,342,359,9"
56.The Truman Show,8.2,"Comedy, Drama",103,1998,"$216,639,1"
57.Kill Bill: Vol. 1,8.2,"Action, Crime, Thriller",111,2003,"$352,114,3"
58.1917,8.2,"Action, Drama, War",119,2019,"$623,726,0"
59.Hauru no ugoku shiro,8.2,"Animation, Adventure, Family",119,2004,"$235,860,1"
60.The Sixth Sense,8.2,"Drama, Mystery, Thriller",107,1999,"$858,848,0"
61.A Beautiful Mind,8.2,"Biography, Drama",135,2001,"$619,179,9"
62.Finding Nemo,8.2,"Animation, Adventure, Comedy",100,2003,"$579,707,7"
63.Gone with the Wind,8.2,"Drama, Romance, War",238,1939,"$494,879,4"
64.Kimetsu no Yaiba: Mugen Ressha-Hen,8.2,"Animation, Action, Adventure",117,2020,"$187,733,2"
65.Baahubali 2: The Conclusion,8.2,"Action, Drama",167,2017,"$269,958,2"
66.Jaws,8.1,"Adventure, Mystery, Thriller",124,1975,"$216,763,6"
67.Gone Girl,8.1,"Drama, Mystery, Thriller",149,2014,"$833,699,7"
68.Hacksaw Ridge,8.1,"Biography, Drama, History",139,2016,"$402,027,8"
69.The Exorcist,8.1,Horror,122,1973,"$267,770,7"
70.Pirates of the Caribbean: The Curse of the Black Pearl,8.1,"Action, Adventure, Fantasy",143,2003,"$773,350,1"
71.Mad Max: Fury Road,8.1,"Action, Adventure, Sci-Fi",120,2015,"$329,398,0"
72.Ford v Ferrari,8.1,"Action, Biography, Drama",152,2019,"$471,980,3"
73.Harry Potter and the Deathly Hallows: Part 2,8.1,"Adventure, Family, Fantasy",130,2011,"$532,950,5"
74.The Help,8.1,Drama,146,2011,"$782,836,7"
75.Catch Me If You Can,8.1,"Biography, Crime, Drama",141,2002,"$630,620,8"
76.Ratatouille,8.1,"Animation, Adventure, Comedy",111,2007,"$233,555,7"
77.Dead Poets Society,8.1,"Comedy, Drama",128,1989,"$1,520,538,5"
78.Inside Out(I) ,8.1,"Animation, Adventure, Comedy",95,2015,"$1,025,521,6"
79.Logan,8.1,"Action, Drama, Sci-Fi",137,2017,"$616,505,1"
"80.Monsters, Inc.",8.1,"Animation, Adventure, Comedy",92,2001,"$631,607,0"
81.How to Train Your Dragon,8.1,"Animation, Action, Adventure",98,2010,"$424,208,8"
82.12 Years a Slave,8.1,"Biography, Drama, History",134,2013,"$424,967,6"
83.Gran Torino,8.1,Drama,116,2008,Top Lifetime Grosses – Worldwi
84.Million Dollar Baby,8.1,"Drama, Sport",132,2004,"July 2, 20"
85.Guardians of the Galaxy Vol. 3,8,"Action, Adventure, Comedy",150,2023,"$205,405,4"
86.Dune: Part One,8,"Action, Adventure, Drama",155,2021,"$504,050,2"
87.Blade Runner 2049,8,"Action, Drama, Mystery",164,2017,"$307,127,6"
88.Guardians of the Galaxy,8,"Action, Adventure, Comedy",121,2014,"$354,825,4"
89.Black Swan,8,"Drama, Thriller",108,2010,"$378,410,5"
90.La La Land,8,"Comedy, Drama, Music",128,2016,"$484,068,8"
91.The Revenant(I) ,8,"Action, Adventure, Drama",156,2015,"$444,100,0"
92.Deadpool,8,"Action, Comedy",108,2016,"$2,264,743,3"
93.The Martian,8,"Adventure, Drama, Sci-Fi",144,2015,"$480,904,6"
94.The Imitation Game,8,"Biography, Drama, Thriller",114,2014,"$203,388,1"
95.The Avengers,8,"Action, Sci-Fi",143,2012,"$2,923,706,0"
96.Zootopia,8,"Animation, Adventure, Comedy",108,2016,"$312,897,9"
